Date ,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
20-Jan-24,22003.95,22019.6,21854.55,21880.5,376849998,21967.95
23-Jan-24,22037.65,22054.85,21464.75,21506.8,906351416,65262.77
24-Jan-24,21469.95,21771.75,21391.8,21746,781366883,56469.56
25-Jan-24,21763.65,21763.65,21541.85,21666.5,818690768,52062.69
29-Jan-24,21752.1,22066.75,21744.2,22041.6,831965951,50274.21
30-Jan-24,22088.6,22120.35,21826.05,21846.2,774431678,47586.73
31-Jan-24,21823.15,22067.15,21783.4,22051.55,882864530,58089.36
01-Feb-24,22123.45,22169.85,21985.7,22039.6,815361681,51181.67
02-Feb-24,22158.7,22444.75,22155,22199,983736401,53357.03
05-Feb-24,22284.15,22329.7,22064.15,22113.4,915604325,50541.12
06-Feb-24,22177.05,22315.15,22074.35,22299.3,726098344,45410.47
07-Feb-24,22428.65,22437.65,22261.95,22363.7,810238836,48842.35
08-Feb-24,22456.4,22459.95,22150.8,22202.75,1062401360,62565.53
09-Feb-24,22223.15,22274.6,22044.45,22247.55,1012378162,52261.82
12-Feb-24,22273.5,22301.9,22001.7,22042.1,768619385,39678.1
13-Feb-24,22090.5,22196.85,21934.8,22181.6,724938020,42972.65
14-Feb-24,22014.15,22336.85,21972.3,22313.4,678684857,44817.42
15-Feb-24,22398.4,22447.55,22301.65,22405.55,889778899,47140.15
16-Feb-24,22516.9,22570.2,22469.7,22540.9,742965569,44546.45
19-Feb-24,22611.65,22686.05,22527.75,22618.25,500539701,31953.93
20-Feb-24,22604.75,22704.35,22545.85,22685.65,566919896,36714.59
21-Feb-24,22743.65,22757.25,22488.5,22547.6,693055476,43942.49
22-Feb-24,22587.15,22759.05,22389.85,22725.4,625405833,45903.6
23-Feb-24,22798.65,22804.8,22704.9,22734.3,566449439,38191.05
26-Feb-24,22698.7,22743.4,22617.3,22667.75,476755445,33294.89
27-Feb-24,22643.65,22753,22641,22722.3,503630614,37422.68
28-Feb-24,22746.4,22764.55,22421.45,22457.65,536755495,34698.29
29-Feb-24,22441.95,22609.35,22358.2,22526.3,1154430188,63372.34
01-Mar-24,22605.7,22874.45,22604.65,22862.05,618456858,40130.98
02-Mar-24,22935.15,22951.95,22903.7,22915.7,61641443,2923.98
